year,date,event_name,tour,field_size,field_strength_mean,field_strength_q25,field_strength_q75,field_strength_q10,field_strength_q90
2020,"2020-02-23","World Golf Championships-Mexico Championship","PGA",72,0.55,0.24,0.99,-0.35,1.5
2020,"2020-02-23","Puerto Rico Open","PGA",120,-1.09,-1.86,-0.22,-3.07,0.12
2020,"2020-02-16","LECOM Suncoast Classic","KFT",144,-1.2,-1.57,-0.72,-2.13,-0.4
2020,"2020-02-16","The Genesis Invitational","PGA",120,0.33,-0.02,0.68,-0.41,1.16
2020,"2020-02-09","Country Club de Bogota Championship","KFT",156,-1.31,-1.66,-0.86,-2.18,-0.53
2020,"2020-02-09","ISPS Handa Vic Open","EURO",144,-2.28,-2.92,-1.3,-4.41,-0.61
2020,"2020-02-09","AT&T Pebble Beach Pro-Am","PGA",156,-0.32,-0.71,0.33,-1.37,0.63
2020,"2020-02-02","Saudi International powered by SoftBank Investment Advisors","EURO",132,-0.61,-0.92,-0.03,-1.55,0.62
2020,"2020-02-02","Waste Management Phoenix Open","PGA",132,0.05,-0.28,0.59,-0.86,0.92
2020,"2020-02-02","Panama Championship","KFT",144,-1.32,-1.74,-0.86,-2.05,-0.55
2020,"2020-01-26","Omega Dubai Desert Classic","EURO",131,-0.57,-0.92,0.09,-1.85,0.69
2020,"2020-01-26","Farmers Insurance Open","PGA",156,-0.14,-0.56,0.39,-1.05,0.84
2020,"2020-01-22","The Bahamas Great Abaco Classic at Baha Mar","KFT",132,-1.28,-1.65,-0.76,-2.18,-0.49
2020,"2020-01-19","The American Express","PGA",156,-0.21,-0.56,0.27,-1.09,0.67
2020,"2020-01-19","Abu Dhabi HSBC Championship presented by EGA","EURO",132,-0.46,-0.84,0.09,-1.58,0.61
2020,"2020-01-15","The Bahamas Great Exuma Classic at Sandals Emerald Bay","KFT",131,-1.22,-1.44,-0.73,-2.1,-0.51
2020,"2020-01-12","South African Open hosted by the City of Johannesburg","EURO",240,-2.1,-3.01,-1.06,-4.12,-0.37
2020,"2020-01-12","Sony Open in Hawaii","PGA",144,-0.24,-0.63,0.37,-1.32,0.74
2020,"2020-01-05","Sentry Tournament of Champions","PGA",34,0.58,0.2,1.02,-0.2,1.54
2020,"2019-12-22","Australian PGA Championship","EURO",156,-2.01,-2.62,-1.3,-3.18,-0.75
2020,"2019-12-08","AFRASIA BANK Mauritius Open","EURO",156,-1.68,-2.38,-0.86,-2.93,-0.41
2020,"2019-12-07","Hero World Challenge","PGA",18,1.22,0.84,1.57,0.48,2
2020,"2019-12-01","Alfred Dunhill Championship #1","EURO",156,-1.65,-2.27,-0.78,-3.22,-0.43
2020,"2019-11-24","The RSM Classic","PGA",155,-0.39,-0.82,0.17,-1.4,0.57
2020,"2019-11-17","Mayakoba Golf Classic","PGA",132,-0.17,-0.52,0.32,-1.08,0.68
2020,"2019-11-03","World Golf Championships-HSBC Champions","PGA",78,0.21,-0.25,0.9,-1.21,1.26
2020,"2019-11-03","Bermuda Championship","PGA",120,-1.29,-2.05,-0.25,-3.74,0.16
2020,"2019-10-27","ZOZO CHAMPIONSHIP","PGA",78,0.52,0.11,1.01,-0.34,1.21
2020,"2019-10-20","THE CJ CUP @ NINE BRIDGES","PGA",78,0.2,-0.16,0.78,-0.96,1.09
2020,"2019-10-13","Houston Open","PGA",143,-0.6,-0.93,0,-1.96,0.37
2020,"2019-10-06","Shriners Hospitals for Children Open","PGA",144,-0.03,-0.28,0.45,-0.93,0.86
2020,"2019-09-29","Safeway Open","PGA",144,-0.26,-0.61,0.25,-1.13,0.67
2020,"2019-09-22","Sanderson Farms Championship","PGA",156,-0.45,-0.83,0.12,-1.78,0.39
2020,"2019-09-15","A Military Tribute at The Greenbrier","PGA",156,-0.42,-0.71,0.11,-1.45,0.36
2021,"2021-11-21","DP WORLD TOUR CHAMPIONSHIP, DUBAI","EURO",53,0.23,-0.16,0.76,-0.4,1.08
2021,"2021-11-14","AVIV Dubai Championship","EURO",114,-0.76,-1.16,-0.22,-1.69,0.02
2021,"2021-11-07","Portugal Masters","EURO",107,-0.87,-1.33,-0.34,-1.97,-0.04
2021,"2021-10-24","Mallorca Golf Open","EURO",120,-1.32,-1.88,-0.53,-2.46,-0.14
2021,"2021-10-17","Estrella Damm N.A. Andalucía Masters","EURO",126,-0.8,-1.32,-0.14,-2.01,0.11
2021,"2021-10-10","ACCIONA Open de España","EURO",131,-0.93,-1.38,-0.32,-2,-0.04
2021,"2021-10-03","Alfred Dunhill Links Championship","EURO",168,-0.91,-1.51,-0.19,-2.29,0.24
2021,"2021-09-19","Dutch Open","EURO",144,-1.62,-2.3,-0.77,-3.28,-0.16
2021,"2021-09-12","BMW PGA CHAMPIONSHIP","EURO",144,-0.53,-1.03,0.1,-1.65,0.48
2021,"2021-09-05","Korn Ferry Tour Championship presented by United Leasing & Finance","KFT",129,-0.56,-0.87,-0.23,-1.24,0.11
2021,"2021-09-05","DS Automobiles Italian Open","EURO",156,-0.91,-1.49,-0.19,-2.42,0.17
2021,"2021-09-05","TOUR Championship","PGA",30,1.46,1.31,1.64,1.06,1.72
2021,"2021-08-29","Nationwide Children's Hospital Championship","KFT",138,-0.55,-0.8,-0.23,-1.24,0.08
2021,"2021-08-29","Omega European Masters","EURO",156,-0.96,-1.41,-0.26,-2.27,0.07
2021,"2021-08-29","BMW Championship","PGA",69,0.96,0.56,1.43,0.28,1.66
2021,"2021-08-22","Albertsons Boise Open presented by Chevron","KFT",132,-0.56,-0.86,-0.25,-1.27,0.03
2021,"2021-08-22","D+D Real Czech Masters","EURO",124,-2.01,-2.67,-0.81,-3.97,-0.37
2021,"2021-08-22","THE NORTHERN TRUST","PGA",123,0.6,0.18,1.01,-0.08,1.48
2021,"2021-08-15","Wyndham Championship","PGA",156,-0.2,-0.59,0.33,-1.13,0.67
2021,"2021-08-15","Pinnacle Bank Championship presented by Aetna","KFT",156,-1,-1.45,-0.55,-1.77,-0.2
2021,"2021-08-15","Cazoo Classic","EURO",143,-1.3,-1.99,-0.55,-2.62,-0.25
2021,"2021-08-08","Utah Championship presented by Zions Bank","KFT",155,-1.19,-1.53,-0.69,-2.13,-0.3
2021,"2021-08-08","Hero Open","EURO",143,-1.44,-2.08,-0.73,-2.69,-0.35
2021,"2021-08-08","Barracuda Championship","PGA",132,-0.68,-1.1,0.02,-1.97,0.36
2021,"2021-08-08","World Golf Championships-FedEx St. Jude Invitational","PGA",66,0.83,0.43,1.42,-0.07,1.64
2021,"2021-08-01","ISPS HANDA World Invitational presented by Modest! Golf Management","EURO",143,-1.65,-2.24,-0.81,-3.04,-0.4
2021,"2021-08-01","Olympic Men's Golf Competition","PGA",60,0.13,-0.57,0.92,-0.88,1.37
2021,"2021-07-25","Price Cutter Charity Championship presented by Dr Pepper","KFT",156,-1.12,-1.49,-0.55,-2.09,-0.23
2021,"2021-07-25","Cazoo Open supported by Gareth Bale","EURO",133,-1.45,-2.17,-0.65,-2.84,-0.13
2021,"2021-07-25","3M Open","PGA",155,-0.39,-0.89,0.25,-1.64,0.58
2021,"2021-07-18","The Open Championship","PGA",156,-0.02,-0.7,0.88,-2.12,1.4
2021,"2021-07-18","Memorial Health Championship presented by LRS","KFT",156,-1.21,-1.6,-0.65,-2.12,-0.28
2021,"2021-07-18","Barbasol Championship","PGA",131,-1.15,-2.03,-0.18,-3.19,0.15
2021,"2021-07-11","TPC Colorado Championship at Heron Lakes","KFT",155,-1.12,-1.46,-0.58,-2.07,-0.19
2021,"2021-07-11","abrdn Scottish Open","EURO",156,-0.49,-0.96,0.11,-1.74,0.6
2021,"2021-07-11","John Deere Classic","PGA",154,-0.61,-1.15,0.13,-2.26,0.49
2021,"2021-07-04","Dubai Duty Free Irish Open","EURO",155,-0.94,-1.42,-0.29,-2.25,0.13
2021,"2021-07-04","Rocket Mortgage Classic","PGA",156,-0.25,-0.67,0.3,-1.35,0.66
2021,"2021-06-27","Live and Work in Maine Open","KFT",156,-1.25,-1.61,-0.58,-2.38,-0.3
2021,"2021-06-27","BMW International Open","EURO",156,-1.09,-1.61,-0.53,-2.4,-0.03
2021,"2021-06-27","Travelers Championship","PGA",156,-0.02,-0.37,0.55,-1.11,1.05
2021,"2021-06-20","Wichita Open Benefitting KU Wichita Pediatrics","KFT",156,-1.21,-1.54,-0.63,-2.41,-0.27
2021,"2021-06-20","U.S. Open","PGA",156,-0.12,-0.77,0.9,-2.18,1.55
2021,"2021-06-13","Scandinavian Mixed Hosted by Henrik & Annika","EURO",78,-1.01,-1.48,-0.44,-2.04,-0.17
2021,"2021-06-13","BMW Charity Pro-Am presented by SYNNEX Corporation","KFT",160,-1.15,-1.6,-0.58,-2.06,-0.26
